date_time,magnitude,depth,latitude,longitude,sig,tsunami
5/5/1995 3:53,7.1,16,12.626,125.297,776,0
5/13/1995 8:47,6.6,14,40.149,21.695,670,0
5/14/1995 11:33,6.9,11.2,-8.378,125.127,732,0
5/16/1995 20:12,7.7,20.2,-23.008,169.9,912,0
5/27/1995 13:03,7.1,11,52.629,142.827,776,0
6/15/1995 0:15,6.5,14.2,38.401,22.283,650,0
6/29/1995 12:24,6.6,139.4,-19.544,169.287,670,0
7/11/1995 21:46,6.8,12.5,21.966,99.196,711,0
7/30/1995 5:11,8,45.6,-23.34,-70.294,985,0
8/14/1995 4:37,6.7,127.9,-4.836,151.515,691,0
8/16/1995 10:27,7.7,30.1,-5.799,154.178,912,0
8/16/1995 16:24,6.6,18.7,-5.429,153.773,670,0
8/16/1995 23:10,7.2,33,-5.771,154.347,798,0
8/19/1995 21:43,6.6,119.6,5.139,-75.577,670,0
8/28/1995 10:46,6.6,12.2,26.092,-110.284,670,0
9/14/1995 14:04,7.4,23,16.779,-98.597,842,0
9/23/1995 22:31,6.5,59.9,-10.68,-78.581,650,0
10/3/1995 1:51,7,24.4,-2.75,-77.881,754,0
10/3/1995 12:44,6.5,16.7,-2.778,-77.851,650,0
10/6/1995 18:09,6.8,33,-2.045,101.436,711,0
10/9/1995 15:35,8,33,19.055,-104.205,985,0
10/18/1995 10:37,7.1,28.4,27.929,130.175,776,0
10/19/1995 2:41,6.8,19.7,28.094,130.148,711,0
10/21/1995 2:38,7.2,159.3,16.84,-93.469,798,0
11/1/1995 0:35,6.7,19.9,-28.906,-71.417,691,0
11/22/1995 4:15,7.2,10,28.826,34.799,798,0
12/3/1995 18:01,7.9,33,44.663,149.3,960,0
12/19/1995 23:28,6.5,63.4,-3.703,140.233,650,0
12/25/1995 4:43,7.1,141.9,-6.903,129.151,776,0
1/1/1996 8:05,7.9,24,0.729,119.931,960,0
1/1/1996 9:57,6.6,33,53.826,159.586,670,0
2/3/1996 11:14,6.6,11.1,27.291,100.276,670,0
2/7/1996 21:36,7.2,42.6,45.324,149.892,798,0
2/16/1996 15:22,6.7,40.8,37.353,142.38,691,0
2/17/1996 5:59,8.09,33,-0.891,136.952,1007,0
2/17/1996 14:21,6.5,19.2,-0.567,135.84,650,0
2/17/1996 20:18,6.5,31.9,-0.917,136.225,650,0
2/21/1996 12:51,7.5,10,-9.593,-79.587,865,0
2/25/1996 3:08,7.1,21.1,15.978,-98.07,776,0
3/3/1996 14:55,6.6,33,11.657,-86.856,670,0
3/3/1996 16:37,6.7,33,11.905,-86.772,691,0
3/17/1996 14:48,6.7,164.4,-14.705,167.297,691,0
